ファイル名,アプリ名,ページ種別,業界,レイアウト,主要カラー,UIコンポーネント,フロー種別,UI状態,情報密度,注目ポイント,エラー
jalan-2024-08-1722742430923-49.webp,Jalan,購入・予約,宿泊旅行,リスト式,"オレンジ (#E87722), ホワイト (#FFFFFF), ライトグレー (#F5F5F5)","テキストフィールド, ボタン, ドロップダウン, タグ・ラベル, ツールバー",購入・予約,通常状態,中,宿泊代表者の氏名（漢字・カナ）・住所・電話番号を必須項目としてセクション区切りで縦並びに配置したフォーム画面で、各入力形式の注意書きがフィールド直下に明示されている。,
jalan-2024-08-1722742444383-0.webp,Jalan,購入・予約,旅行,リスト式,"オレンジ (#E87722), ホワイト (#FFFFFF), ライトグレー (#F5F5F5), ダークグレー (#333333)","テキストフィールド, セレクト, ドロップダウン, タグ・ラベル, ツールチップ, リスト, ツールバー",購入・予約,通常状態,中,予約者情報入力フォーム（電話番号・年代・メールアドレス・氏名）と、予約金不要・キャンセル規定（2日前50%〜当日100%）を同一スクロール画面内にまとめて表示している。,
jalan-2024-08-1722742445685-1.webp,Jalan,購入・予約,宿泊旅行,リスト式,"オレンジ (#E87722), ブルー (#2196F3), ホワイト (#FFFFFF), グレー (#F5F5F5)","チェックボックス, ボタン, ドロップダウン, タグ・ラベル, リスト",購入・予約,通常状態,低,予約フローの入力ステップ画面で、メールマガジン配信の購読オプション（施設・じゃらんnet・リクルートID）を複数チェックボックスで選択でき、画面下部にステッパー形式の4段階進捗インジケーターが表示されている。,
jalan-2024-08-1722742446810-2.webp,Jalan,支払い方法,旅行,リスト式,"オレンジ (#F07800), ホワイト (#FFFFFF), グレー (#F5F5F5)","ボタン, ラジオボタン, セレクト, ドロップダウン, タグ・ラベル, ツールバー",購入・予約,通常状態,中,予約フローの進捗ステッパー（4ステップ）を上部に表示し、クーポン選択用ドロップダウンとポイント利用のラジオボタン選択を1画面内に縦並びで配置した支払い情報入力画面。,
jalan-2024-08-1722742447807-3.webp,Jalan,支払い方法,宿泊旅行,リスト式,"オレンジ (#E87722), 白, 黒, 赤","ラジオボタン, バナー・アラート, リスト, タグ・ラベル, ボタン",購入・予約,通常状態,高,クーポン・ポイント適用後の支払い金額サマリーと、Apple Pay／オンラインカード決済の2択ラジオボタン選択UIが縦に並び、複数の赤文字注意書きが占める割合が大きい構成になっている。,
jalan-2024-08-1722742449744-5.webp,Jalan,購入・予約,旅行,リスト式,"オレンジ (#F07800), ホワイト (#FFFFFF), ブラック (#000000)","ボタン, バナー・アラート, タグ・ラベル, カード, ツールバー, テキストフィールド, リスト",購入・予約,通常状態,中,予約確定前の最終確認画面として、未成立状態をオレンジ枠のアラートで明示し、獲得ポイント・プラン名・チェックイン日時などの予約サマリーをリスト形式で縦並びに表示している。,
jalan-2024-08-1722742451904-7.webp,Jalan,購入・予約,旅行,リスト式,"オレンジ (#E07B00系), ホワイト, グレー","テキストフィールド, タグ・ラベル, バッジ, テーブル, リスト, ツールバー",購入・予約,通常状態,中,宿泊内容・宿泊代表者情報の入力セクションと支払い内容の明細セクションが縦に並列配置され、泊数ごとの料金内訳がラベル付きで分けて表示されている。,
jalan-2024-08-1722742452922-8.webp,Jalan,購入・予約,宿泊旅行,リスト式,"オレンジ (#E07820系), ホワイト, ダークブラウン, レッド","テーブル, リスト, タグ・ラベル, バナー・アラート",購入・予約,通常状態,高,宿泊料金の支払い明細（1泊目・2泊目の内訳）、クーポン適用後の支払金額、および加算予定ポイントの詳細内訳（Pontaポイント・じゃらん限定ポイント）を1画面に縦並びで集約表示している。,
jalan-2024-08-1722742454030-9.webp,Jalan,購入・予約,旅行,リスト式,"オレンジ (#E87722), ホワイト (#FFFFFF), ブラック (#000000), ブルー (リンク色)","テーブル, リスト, タグ・ラベル, ツールチップ, バナー・アラート",購入・予約,通常状態,中,予約確認画面の下部セクションとして、加算予定スコア・キャンセル規定（2日前50%/1日前80%/当日100%）・サイト操作期限・メールマガジン配信設定が縦に並んだセクション分割構成になっている。,
jalan-2024-08-1722742456160-11.webp,Jalan,購入・予約,旅行,リスト式,"オレンジ (#F5A623), ホワイト (#FFFFFF), ブルー (#007AFF), グレー (#F5F5F5)","ボタン, タブ・セグメントコントロール, テーブル, バナー・アラート, タグ・ラベル, ツールバー",購入・予約,通常状態,中,予約完了画面にて、ステッパー形式の進捗バー（4ステップ）を上部に表示し、予約番号・施設名・宿泊プラン・宿泊日・人数をテーブル形式で整理した上で、航空券追加へのアップセルCTAボタンを画面下部に配置している。,
jalan-2024-08-1722742460254-15.webp,Jalan,検索,旅行,リスト式,"オレンジ (#E87722), ホワイト (#FFFFFF), グレー (#F5F5F5)","ボタン, チェックボックス, ステッパー, 日付・時間選択, ドロップダウン, リスト, ツールバー","検索, フィルタ・並び替え",通常状態,中,宿泊地選択・人数・部屋数・予算・禁煙フィルタ・レンタカーオプションを1画面に集約したパッケージ旅行の検索条件入力画面で、ステッパーUIで人数と部屋数を直接増減できる構成になっている。,
jalan-2024-08-1722742469720-24.webp,Jalan,検索結果,旅行,カード式,"オレンジ (#E87722), 白, 青 (#1A6FC4), グレー","ボタン, タグ・ラベル, バッジ, カード, リスト, ツールバー, バナー・アラート","検索, 選択, 購入・予約",通常状態,高,航空券＋宿泊のパッケージ料金を1人あたり・合計の2軸で表示し、クーポン取得CTAと宿泊プラン選択CTAを同一カード内に併置している。,
jalan-2024-08-1722742479141-32.webp,Jalan,クーポン・リワード,宿泊旅行,テーブル,"オレンジ (#E07820系), ホワイト (#FFFFFF), ベージュ (#F5F0E8系), ブラウン (#5C3D1E系)","ボタン, タグ・ラベル, バッジ, ツールバー, テーブル, リスト, アコーディオン",選択,通常状態,高,クーポン詳細情報（対象施設・取得期間・予約期間・宿泊期間・先着予約数・利用条件・注意事項）をテーブル形式で縦並びに整理し、取得済み状態をウォーターマーク風バッジとグレーアウトされたボトムボタンで明示している。,
jalan-2024-08-1722742482316-35.webp,Jalan,コンテンツ詳細,旅行,カード式,"オレンジ (#E87722), ホワイト (#FFFFFF), ダークグレー (#333333)","ボタン, タブ・セグメントコントロール, レーティング, カード, リスト, タグ・ラベル, バッジ, ツールバー, ドロップダウン","検索, 購入・予約",通常状態,高,航空券付き宿泊プランをJAL/ANAの2社切替タブで表示し、各プランカードに残室数バッジ・料金・クーポン取得ボタンを一画面に集約している。,
jalan-2024-08-1722742542118-31.webp,Jalan,検索,旅行,リスト式,"オレンジ (#D4740A系), ホワイト, ブルー","ボタン, バナー・アラート, カード, リスト, タグ・ラベル, ツールバー","検索, フィルタ・並び替え",通常状態,中,エリア・日付・ジャンルの検索条件サマリー表示の下に件数付き検索ボタンを配置し、クーポンバナー・直前閲覧プラン・最近見たスポットの3セクションを縦並びで提示する構成。,
jalan-2024-08-1722742549353-38.webp,Jalan,検索結果,旅行,カード式,"オレンジ(#E07B2A), ホワイト, レッド(価格表示), ゴールド(星評価)","ツールバー, カード, リスト, レーティング, タグ・ラベル, ドロップダウン, バッジ","検索, フィルタ・並び替え",通常状態,中,各カードに2枚の横並び画像・施設名・所在地・星評価+クチコミ件数・大人料金を統一フォーマットで表示し、右下に「おすすめ順」ドロップダウンを固定配置している。,
jalan-2024-08-1722742592846-17.webp,Jalan,カレンダー,観光・体験予約,テーブル,オレンジ（#D4762A系）、ホワイト、ブルー（#2F7FD4系）、ライトグレー,"ボタン, テーブル, アコーディオン, ツールバー, タグ・ラベル, ドロップダウン","選択, 購入・予約",パーシャルステート,中,集合時間・体験時間・料金・予約ボタンの4列テーブル構成で、各行にアコーディオン式の料金詳細（大人/子供/幼児別）を展開できる構造になっている。,
IMG_1519.PNG,Rakuten Travel,検索,旅行,タブ切替,"グリーン (#00B900), ホワイト (#FFFFFF), ピンク (#FF0066)","テキストフィールド, ボタン, 日付・時間選択, タブ・セグメントコントロール, 検索フィールド, バナー・アラート, ボトムナビ, タグ・ラベル, バッジ, ツールバー","検索, フィルタ・並び替え",通常状態,中,ホテル・宿検索画面に目的地入力・日付・部屋数・人数・予算・食事・喫煙条件のフィルタ項目と地図検索ボタンが縦に並んで配置されている。,
IMG_1520.PNG,Rakuten Travel,ホーム,宿泊・旅行,カード式,グリーン（#00843D）、ホワイト、グレー、オレンジ（星評価）,"ボタン, タグ・ラベル, バッジ, カード, カルーセル, ボトムナビ, ツールバー, リスト","検索, フィルタ・並び替え",通常状態,中,検索フィルター（予算・食事・喫煙）、ボーナスレベル表示、ポイントUP告知バナー、最近閲覧した宿泊施設カルーセルが縦方向に積み重なって配置されている。,
IMG_1521.PNG,Rakuten Travel,検索,旅行,リスト式,グリーン（#00B900系）、ホワイト、グレー,"検索フィールド, 日付・時間選択, ステッパー, タグ・ラベル, ボタン, ボトムナビ, バッジ, ツールバー","検索, フィルタ・並び替え",通常状態,中,目的地入力・日程・部屋数・人数の基本条件に加え、予算・温泉・食事・喫煙・ペット等の絞り込みタグが展開表示されており、検索条件の設定と詳細フィルタが1画面に集約されている。,
IMG_1522.PNG,Rakuten Travel,フィルタ・並び替え,旅行,全画面,グリーン（#2E8B57系）、ホワイト、グレー,スライダー、テキストフィールド、ボタン、ツールバー,フィルタ・並び替え,通常状態,低,"1室あたりの宿泊料金を範囲指定するスライダーと最低・最高料金の入力フィールドを組み合わせたフィルタ画面で、現在は下限なし・上限なし（最大200,000円）の初期状態が表示されている。",
IMG_1523.PNG,Rakuten Travel,検索,旅行,リスト式,"グリーン（#00B900系）, ホワイト, ブラック","テキストフィールド, ボタン, 日付・時間選択, タグ・ラベル, 検索フィールド, ボトムナビ, バッジ, ツールバー","検索, フィルタ・並び替え",通常状態,中,宿泊検索フォームに日程・部屋数・人数入力欄を備え、予算・温泉宿・禁煙・高級宿などの絞り込みタグが選択式で並列表示されており、アクティブなタグはグリーンで強調されている。,
IMG_1524.PNG,Rakuten Travel,フィルタ・並び替え,宿泊旅行,リスト式,グリーン（#2EA84F）、ホワイト、グレー,"ボタン, ステッパー, リスト, ツールバー","フィルタ・並び替え, 選択, 購入・予約",通常状態,中,客室数・大人・小学校高学年/低学年・幼児（食事布団付/食事のみ）の計6カテゴリを個別ステッパーで設定できる宿泊人数選択画面で、子どもの年齢区分と食事条件を細分化している。,
IMG_1525.PNG,Rakuten Travel,カレンダー,旅行,全画面,"グリーン (#2D7A2D), ホワイト, ブラック, グレー, レッド, ブルー","ボタン, 日付・時間選択, ツールバー, タグ・ラベル","購入・予約, 選択",通常状態,中,チェックイン（5月6日）とチェックアウト（5月13日）の2点をグリーンの円形マーカーで示し、その間の日付範囲をグレーのハイライトで視覚的に表示する7泊選択済みカレンダーUI。,
IMG_1526.PNG,Rakuten Travel,検索結果,旅行,カード式,"グリーン (#2E8B57系), ホワイト, ブラック","検索フィールド, ボタン, スイッチ・トグル, ドロップダウン, タグ・ラベル, バッジ, カード, カルーセル, ページコントロール, ボトムナビ, バナー・アラート, レーティング, ツールバー","検索, フィルタ・並び替え",通常状態,高,検索結果上部にBonusロイヤルティプログラムのレベル表示・プラン情報トグル・ふるさと納税バナーが縦に重なり、ホテルカードにはカルーセル画像・評価・タグ・説明文が集約されている。,
IMG_1527.PNG,Rakuten Travel,フィルタ・並び替え,旅行,リスト式,グリーン（#00833E）、ホワイト、グレー,"ボタン, ラジオボタン, 検索フィールド, シート, ドロップダウン, タグ・ラベル, バッジ, ツールバー",フィルタ・並び替え,通常状態,中,ボトムシートで「並べ替え」オプション（おすすめ順・料金安い順・料金高い順・評価高い順）を4択ラジオボタンで提示し、現在「おすすめ順」が選択済みの状態で背景には検索結果と楽天会員限定クーポン適用済みの料金情報が表示されている。,
IMG_1528.PNG,Rakuten Travel,フィルタ・並び替え,旅行,リスト式,グリーン（#2E7D32系）、ホワイト、グレー,"スライダー, テキストフィールド, ボタン, タグ・ラベル, ツールバー",フィルタ・並び替え,通常状態,低,予算範囲をスライダーと直接入力フィールドの併用で設定でき、人気絞り込み条件（禁煙ルームが選択済み）をタグ形式で複数選択できる構成になっている。,
IMG_1529.PNG,Rakuten Travel,フィルタ・並び替え,宿泊旅行,リスト式,"白, 緑, グレー, 黒","ボタン, タグ・ラベル, ツールバー, リスト",フィルタ・並び替え,通常状態,中,宿タイプ・特別な宿・サステナブル・食事の4カテゴリをセクションヘッダーで区切り、選択中の「高級宿」のみ緑色でハイライトされたピルボタン群と、下部固定の「すべてクリアする」「確定する」ボタンで構成されたフィルター画面。,
IMG_1530.PNG,Rakuten Travel,検索結果,旅行,カード式,"グリーン (#00B900系), ホワイト, ブラック, レッド","検索フィールド, ボタン, タグ・ラベル, バッジ, カード, カルーセル, ページコントロール, レーティング, ボトムナビ, ツールバー, フロートボタン, ドロップダウン","検索, フィルタ・並び替え, 購入・予約",通常状態,高,検索結果カードにホテル画像カルーセル・評価・タグ・プラン詳細・通常料金と割引後料金・クーポン適用額・ポイント還元率が1枚のカード内に集約されている。,
IMG_1531.PNG,Rakuten Travel,検索結果,旅行,カード式,"グリーン (#00B900), ホワイト, ブラック, レッド","検索フィールド, ボタン, タグ・ラベル, カード, バッジ, ボトムナビ, ドロップダウン, ツールバー, バナー・アラート, リスト","検索, フィルタ・並び替え, 購入・予約",通常状態,高,1件の宿泊プランカードに料金・割引クーポン適用額・獲得ポイント・禁煙/食事/面積などの室内情報を集約表示し、ふるさと納税クーポンバナーと「すべてのプランを見る」CTAを直下に配置している。,
IMG_1532.PNG,Rakuten Travel,クーポン・リワード,旅行,全画面,緑（#00B900系）、赤、白、黄みがかったベージュ,"バナー・アラート, タグ・ラベル, カード, リスト, ツールバー",選択,通常状態,中,楽天トラベルと楽天ふるさと納税の連携説明ページで、ふるさと納税寄付による宿泊割引クーポン取得の仕組みをテキストとモックアップ画像で構成して説明している。,
IMG_1533.PNG,Rakuten Travel,検索結果,旅行,カード式,"グリーン (#00A651), ホワイト (#FFFFFF), ブラック (#000000)","ボタン, タブ・セグメントコントロール, 日付・時間選択, ドロップダウン, ボトムナビ, タグ・ラベル, バッジ, カード, カルーセル, ページコントロール, ツールバー","検索, フィルタ・並び替え, 購入・予約",通常状態,中,ホテル詳細画面内の「部屋・プラン」タブにて、日付・人数指定・禁煙フィルタ・料金安い順の並び替えが組み合わされ、26件のプラン一覧がカード形式で表示されている。,
IMG_1534.PNG,Rakuten Travel,検索結果,旅行,カード式,"グリーン (#00B900系), ホワイト, ブラック","ボタン, タブ・セグメントコントロール, 日付・時間選択, ドロップダウン, タグ・ラベル, バッジ, カード, カルーセル, ページコントロール, ボトムナビ, ツールバー, リスト","検索, フィルタ・並び替え, 購入・予約",通常状態,中,日程・人数の検索条件バーと「部屋/プラン」のタブ切替、禁煙フィルタ・料金安い順ソートが上部に集約され、その下に部屋カード（写真カルーセル・室内スペック情報付き）が8件リスト表示される構成。,
IMG_1535.PNG,Rakuten Travel,コンテンツ詳細,宿泊/旅行,カード式,グリーン（#00844C）、ホワイト、ブラック,ボタン、ページコントロール、ボトムナビ、タブ・セグメントコントロール、カード、タグ・ラベル、バッジ、ツールバー,購入・予約,通常状態,高,客室詳細ページにおいて、通常価格・割引後価格・クーポン適用額・獲得ポイントの4段階の料金情報を1カード内に集約し、空室確認と予約の2アクションボタンを横並びに配置している。,
IMG_1536.PNG,Rakuten Travel,コンテンツ詳細,旅行,カード式,"グリーン (#00B900系), ホワイト, ブラック, レッド","ボタン, タブ・セグメントコントロール, カード, リスト, タグ・ラベル, バッジ, ツールバー, ボトムナビ","購入・予約, 選択",通常状態,高,宿泊プランカードに定価・割引後価格・クーポン適用額・獲得ポイントを重層的に表示し、空室確認と予約への2アクションボタンを並列配置している。,
IMG_1537.PNG,Rakuten Travel,コンテンツ詳細,旅行,カード式,"グリーン (#4CAF50系), ホワイト, ブラック, レッド","ボタン, タブ・セグメントコントロール, カード, リスト, タグ・ラベル, バッジ, ボトムナビ, ツールバー","選択, 購入・予約",通常状態,高,各プランカードに定価・割引後価格・楽天会員限定クーポン割引額・獲得ポイントの4段階の価格情報が縦積みで表示され、空室確認と予約の2つのCTAボタンが横並びで配置されている。,
IMG_1538.PNG,Rakuten Travel,カレンダー,宿泊/旅行,グリッド,"グリーン (#2E7D32系), ホワイト, レッド, ブラック","ボタン, 日付・時間選択, テーブル, タグ・ラベル, ツールバー, ステッパー","購入・予約, 選択",通常状態,中,"チェックイン日(5/6)のみ価格(17,400円)と空室マーク(○)が表示され、他の日付はすべて×(満室)で埋まっており、選択可能日が極めて限定されている構成。",
IMG_1539.PNG,Rakuten Travel,クーポン・リワード,宿旅,カード式,"グリーン (#00B900系), レッド (#E60000系), ホワイト, グレー","カード, シート, タグ・ラベル, ツールバー, タブ・セグメントコントロール, ボタン, リスト, バッジ","購入・予約, 選択",パーシャルステート,中,"ボトムシートとして「適用済みの割引」モーダルが重なって表示され、合計割引額（-2,958円）と3種のクーポン内訳（宿クーポン・カード限定5%OFF・ボーナスプログラム）がカード形式で一覧化されている。",
IMG_1540.PNG,Rakuten Travel,コンテンツ詳細,旅行,カード式,"グリーン (#00B900系), ホワイト, ブラック","カルーセル, ページコントロール, タグ・ラベル, バッジ, ボタン, アコーディオン, ツールバー",購入・予約,通常状態,中,宿泊プランの詳細画面で、カルーセル画像・プラン概要・食事/決済条件・説明文・有効期間・キャンセルポリシーが縦スクロール形式で1画面に集約されている。,
IMG_1541.PNG,Rakuten Travel,検索結果,旅行,カード式,"白, 黒, 緑, オレンジ","ボタン, タグ・ラベル, カード, カルーセル, ドロップダウン, 日付・時間選択, ツールバー, バッジ","検索, フィルタ・並び替え, 購入・予約",通常状態,高,キャンセルポリシー・日程・人数・フィルター条件を上部に集約し、該当8件の客室カードを料金安い順で表示、楽天会員限定クーポン割引額を価格の直下に明示している。,
IMG_1542.PNG,Rakuten Travel,おすすめ・類似アイテム,宿泊/旅行,カード式,"白, 緑, 赤, グレー","ボタン, カード, カルーセル, タグ・ラベル, バッジ, リスト, ツールバー","選択, 購入・予約",通常状態,高,プラン固定・部屋タイプ選択画面で、各部屋カードに複数画像カルーセル・スペック情報・割引クーポン適用済み価格・獲得ポイントが一括表示され、緑のCTAボタンで即予約導線が設置されている。,
IMG_1543.PNG,Rakuten Travel,検索結果,旅行,カード式,グリーン（#2C9A44）、ホワイト、レッド、ゴールド,ボタン、カード、カルーセル、タグ・ラベル、バッジ、リスト,"検索, 購入・予約",通常状態,高,各客室カードに元値・割引後価格・クーポン割引額・獲得ポイント・残室数を縦積みで表示し、価格情報を多層構造で提示している。,
IMG_1544.PNG,Rakuten Travel,購入・予約,旅行,カード式,緑（#00B900系）、赤（#E03C31系）、白、グレー,"テキストフィールド, ボタン, ステッパー, タグ・ラベル, カード, ツールバー, バッジ",購入・予約,通常状態,中,2ステップ構成の予約フローにおいてSTEP1の情報入力画面で、割引前後の料金・税抜/税込を併記したサマリーカードと宿泊者情報入力フォームが縦に配置され、画面下部に固定された合計金額と予約確定ボタンが常時表示されている。,
IMG_1545.PNG,Rakuten Travel,購入・予約,宿泊/旅行,リスト式,赤（#BF0000系）、白、グレー、オレンジ（警告色）,"ボタン, アコーディオン, バナー・アラート, リスト, タグ・ラベル, ツールバー",購入・予約,通常状態,高,キャンセルポリシーをタイムライン形式で段階的に表示し、現在該当する条件（当日80%）をオレンジ色でハイライトしている。,
IMG_1546.PNG,Rakuten Travel,クーポン・リワード,旅行,リスト式,"白, 緑(薄), 赤, 黒","ボタン, テーブル, リスト, タグ・ラベル, バナー・アラート, ツールバー","購入・予約, 選択",通常状態,高,"クーポン3種（-1,740円/-870円/-348円）が自動選択済みで表示され、合計14,442円の支払い金額と4,557ポイント利用可能情報が同一画面に集約されている。",
IMG_1547.PNG,Rakuten Travel,コンテンツ詳細,宿泊・旅行,タブ切替,"グリーン (#00A651系), ホワイト, ブラック, レッド","ボトムナビ, タブ・セグメントコントロール, カルーセル, ページコントロール, レーティング, タグ・ラベル, バッジ, ツールバー, バナー・アラート, リスト, カード",選択,通常状態,中,ホテル詳細画面にて「施設紹介/部屋・プラン/写真/地図/クチコミ」の5タブ構成を採用し、夜景写真のカルーセル(1/15)・評価スコア・Bonusレベルバッジ・改装工事アラートを縦スクロール上に配置している。,
IMG_1548.PNG,Rakuten Travel,コンテンツ詳細,旅行,タブ切替,"グリーン (#00A651系), ホワイト, ブラック, オレンジ (星評価)","ボトムナビ, タブ・セグメントコントロール, レーティング, リスト, カード, ツールバー, バッジ, タグ・ラベル, グラフ",選択,通常状態,中,"施設紹介ページ内に「基本情報／宿ニュース／セルフチェックイン・アウト」のサブタブを持ち、アクセス情報と星別件数の棒グラフ付きクチコミサマリー（23,867件・評価4.01）を同一スクロール画面内に並列表示している。",
IMG_1549.PNG,Rakuten Travel,コンテンツ詳細,宿泊旅行,タブ切替,グリーン（#00A651系）、ホワイト、オレンジ（客室画像内）,"ボタン, タブ・セグメントコントロール, ボトムナビ, カード, カルーセル, レーティング, アバター, タグ・ラベル, ツールバー, 日付・時間選択, ステッパー","検索, 購入・予約",通常状態,中,施設詳細ページ内に「施設紹介/部屋・プラン/写真/地図/クチコミ」の5タブナビゲーションと、部屋検索用の日付・人数指定フィールド、部屋／プランのセグメントコントロールが同一画面に統合されている。,
IMG_1550.PNG,Rakuten Travel,コンテンツ詳細,宿泊・旅行,カード式,"グリーン (#00A550系), ホワイト, ブラック","ボトムナビ, タブ・セグメントコントロール, カード, カルーセル, タグ・ラベル, ボタン, ツールバー, リスト","選択, 購入・予約",通常状態,高,ホテルの客室タイプごとにカード形式で複数画像・室内スペック・最低料金を並列表示し、各カード下部に「選択できるプラン」のアコーディオン展開ボタンを配置している。,
IMG_1551.PNG,Rakuten Travel,コンテンツ詳細,旅行,カード式,"白, 緑, 赤, オレンジ","ボタン, タブ・セグメントコントロール, カルーセル, カード, タグ・ラベル, ツールバー, ボトムナビ, リスト","選択, 購入・予約",通常状態,高,ホテル客室詳細ページに、部屋スペック（面積・定員・設備）とプラン別料金・ポイント還元率・決済条件を同一画面内に集約し、空室確認CTAボタンへ直結する構成になっている。,
IMG_1552.PNG,Rakuten Travel,コンテンツ詳細,旅行,カード式,"グリーン (#00b050), ホワイト (#ffffff), ブラック (#000000), レッド (#e60026)","ボタン, タブ・セグメントコントロール, カード, リスト, タグ・ラベル, ツールバー, ボトムナビ, バッジ","選択, 購入・予約",通常状態,中,ホテル詳細ページの施設紹介タブ内に複数の宿泊プランをカード形式で表示し、各カードに税込価格・ポイント還元率・空室確認ボタンを配置している。,
IMG_1553.PNG,Rakuten Travel,コンテンツ詳細,旅行,カード式,"白, 緑, オレンジ（客室写真）, ダークブラウン","ツールバー, カルーセル, ページコントロール, タグ・ラベル, バッジ, リスト, アコーディオン",選択,通常状態,中,客室タイプ詳細ページにおいて、カルーセル画像・ベッド種別・広さ・定員・設備アイコン・テキスト説明・備品リストを縦スクロール形式で一画面に集約して表示している。,
IMG_1554.PNG,Rakuten Travel,コンテンツ詳細,宿泊・旅行,リスト式,"ホワイト (#FFFFFF), ブラック (#000000), グレー (#8E8E93)","シート, リスト, ツールバー",選択,通常状態,高,ボトムシート形式で部屋の備品・設備一覧を2カラムのテキストリストとして表示しており、貸出・一部提供の区別をカッコ書きで付記している。,
IMG_1555.PNG,Rakuten Travel,コンテンツ詳細,旅行,リスト式,"グリーン (#00A651), ホワイト, ブラック, レッド","ボトムナビ, タブ・セグメントコントロール, カード, リスト, ツールバー, タグ・ラベル, バッジ",選択,通常状態,中,施設詳細ページ内に「基本情報」「宿ニュース」「駐車場」セクションが縦並びで構成され、宿ニュースはサムネイル付きカードリスト3件と「すべて見る」リンクで表示されている。,
IMG_1556.PNG,Rakuten Travel,コンテンツ詳細,宿旅,タブ切替,"グリーン (#00A650), ホワイト, ブラック, レッド","ボタン, タブ・セグメントコントロール, ボトムナビ, リスト, カード, ツールバー, タグ・ラベル, バッジ","選択, 購入・予約",通常状態,中,ホテル詳細ページに施設紹介・部屋プラン・写真・地図・クチコミの5タブ構成を採用し、基本情報セクションにチェックイン時間・総部屋数・電話番号・FAX番号を構造化表示している。,
IMG_1557.PNG,Rakuten Travel,コンテンツ詳細,旅行,リスト式,グリーン（#00A040）、ホワイト、ブラック,タブ・セグメントコントロール、ボトムナビ、ツールバー、リスト、タグ・ラベル、バッジ,選択,通常状態,中,ホテル施設詳細ページで「駐車場」「館内設備」「部屋設備・備品」の3セクションが縦並びリスト形式で表示され、各セクションに「もっと見る」の展開リンクが設置されている,
IMG_1558.PNG,Rakuten Travel,コンテンツ詳細,宿旅,リスト式,"グリーン (#00B900系), ホワイト, ブラック","ボトムナビ, タブ・セグメントコントロール, リスト, タグ・ラベル, ツールバー",選択,通常状態,中,ホテル施設詳細ページの基本情報タブ内に、設備・サービス一覧・利用可能クレジットカード（4種）・領収書発行情報・条件注意事項をセクション分割して縦スクロール形式で表示している。,
IMG_1559.PNG,Rakuten Travel,コンテンツ詳細,宿泊・旅行,タブ切替,グリーン（#00A550系）、ホワイト、ブラック,ツールバー/タブ・セグメントコントロール/アコーディオン/カード/カルーセル/ボトムナビ/バッジ,検索,通常状態,低,施設詳細ページの「基本情報」タブ内に、よくある質問のアコーディオンリストとトラベルガイドの横スクロールカードが縦に並んで配置されている。,
IMG_1560.PNG,Rakuten Travel,プロモーション,旅行,カード式,"白, 緑, 黄色, 青緑","ボトムナビ, カード, カルーセル, バナー・アラート, タグ・ラベル, ボタン",該当なし,通常状態,中,「特集・キャンペーン」と「ピックアップ」の2セクションに分かれ、それぞれ横スクロール可能なカルーセル形式でプロモーションカードを表示している。,
IMG_1561.PNG,Rakuten Travel,プロモーション,旅行,リスト式,"ホワイト, グリーン (#00B259系), ブラック","ボタン, ボトムナビ, リスト, タグ・ラベル",検索,通常状態,低,「テーマパーク周辺の宿を探す」セクションに5つのテーマパーク（東京ディズニーリゾート・USJ・ハウステンボス・ジャングリア沖縄・レゴランドJapan）がアイコン付きリスト形式で並び、その下に「宿の種類から探す」セクションが続く縦スクロール構成。,
IMG_1562.PNG,Rakuten Travel,クーポン・リワード,旅行,タブ切替,"グリーン (#00B900), ホワイト, イエロー","バナー・アラート, タグ・ラベル, バッジ, タブ・セグメントコントロール, ツールバー, アバター",該当なし,通常状態,低,ログインユーザーの現在ポイント残高とボーナスレベル（レベル0）をヘッダー直下に表示し、全画面グリーンのプロモーションバナーとキャラクターイラストでボーナスプログラムを訴求する構成。,
